Code,Name,OfficialName,OtherNames,Level,M49Code,ContinentCode,SubregionCode,CountryCode,CountryCodeISOa3,SubdivisionCode,Lat,Lon,Population,GleamID
G-ELH,North Eleuthera,,,gleam_basin,,W-NA,,BS,BHS,,,,,3222
G-ELI,Elim,,,gleam_basin,,W-NA,,US,USA,,,,,2364
G-ELM,Elmira,,,gleam_basin,,W-NA,,US,USA,,,,65000.0,2258
G-ELP,El Paso,,,gleam_basin,,W-NA,,US,USA,,,,846000.0,2263
G-ELQ,Gassim,,,gleam_basin,,W-AS,,SA,SAU,,,,,257
G-ELS,East London,,,gleam_basin,,W-AF,,ZA,ZAF,,,,339000.0,632
G-ELU,El Oued,,,gleam_basin,,W-AF,,DZ,DZA,,,,177000.0,29
G-ELY,Ely,,,gleam_basin,,W-NA,,US,USA,,,,,2261
G-EMA,Nottingham,,,gleam_basin,,W-EU,,GB,GBR,,,,826000.0,773
G-EMD,Emerald,,,gleam_basin,,W-OC,,AU,AUS,,,,9000.0,1613
G-EMK,Emmonak,,,gleam_basin,,W-NA,,US,USA,,,,,2246
G-EMN,Nema,,,gleam_basin,,W-AF,,MR,MRT,,,,200000.0,281
