Code,Date,EstimatedInfectous
GD,2020-03-30 00:00:00,90
GE,2020-03-24 00:00:00,610
GE,2020-03-25 00:00:00,730
GE,2020-03-27 00:00:00,730
GE,2020-03-30 00:00:00,830
GE,2020-03-31 00:00:00,1250
GE,2020-04-02 00:00:00,1300
GG,2020-03-25 00:00:00,250
GG,2020-03-27 00:00:00,250
GG,2020-03-30 00:00:00,380
GH,2020-03-25 00:00:00,1040
GH,2020-03-27 00:00:00,1040
GH,2020-03-30 00:00:00,2740
GH,2020-03-31 00:00:00,8000
GH,2020-04-02 00:00:00,8000
GM,2020-03-25 00:00:00,155
GM,2020-03-27 00:00:00,155
GM,2020-03-30 00:00:00,155
GN,2020-03-25 00:00:00,290
GN,2020-03-27 00:00:00,290
GN,2020-03-30 00:00:00,330
GN,2020-03-31 00:00:00,550
GN,2020-04-02 00:00:00,500
GQ,2020-03-25 00:00:00,110
GQ,2020-03-27 00:00:00,110
GQ,2020-03-30 00:00:00,140
GQ,2020-03-31 00:00:00,200
GQ,2020-04-02 00:00:00,200
GR,2020-03-24 00:00:00,6950
GR,2020-03-25 00:00:00,7430
GR,2020-03-27 00:00:00,7430
GR,2020-03-30 00:00:00,9660
GR,2020-03-31 00:00:00,17724
GR,2020-04-02 00:00:00,7785
GT,2020-03-25 00:00:00,335
GT,2020-03-27 00:00:00,335
GT,2020-03-30 00:00:00,375
GT,2020-03-31 00:00:00,550
GT,2020-04-02 00:00:00,653
GU,2020-03-25 00:00:00,580
GU,2020-03-27 00:00:00,580
GY,2020-03-25 00:00:00,70
GY,2020-03-27 00:00:00,70
GY,2020-03-30 00:00:00,70
GY,2020-03-31 00:00:00,120
GY,2020-04-02 00:00:00,699
HN,2020-03-25 00:00:00,720
HN,2020-03-27 00:00:00,720
HN,2020-03-30 00:00:00,1360
HN,2020-03-31 00:00:00,5519
HN,2020-04-02 00:00:00,15083
HR,2020-03-24 00:00:00,3150
HR,2020-03-25 00:00:00,4180
HR,2020-03-27 00:00:00,4180
HR,2020-03-30 00:00:00,5860
HR,2020-03-31 00:00:00,8957
HR,2020-04-02 00:00:00,4271
HT,2020-03-25 00:00:00,320
HT,2020-03-27 00:00:00,320
HT,2020-03-30 00:00:00,330
HT,2020-03-31 00:00:00,550
HT,2020-04-02 00:00:00,100
HU,2020-03-24 00:00:00,1336
HU,2020-03-25 00:00:00,2113
HU,2020-03-27 00:00:00,2113
HU,2020-03-30 00:00:00,3297
HU,2020-03-31 00:00:00,9991
HU,2020-04-02 00:00:00,5255
CH,2020-03-24 00:00:00,51651
CH,2020-03-25 00:00:00,82430
CH,2020-03-27 00:00:00,82430
CH,2020-03-30 00:00:00,120992
CH,2020-03-31 00:00:00,258287
CH,2020-04-02 00:00:00,125583
ID,2020-03-24 00:00:00,8685
ID,2020-03-25 00:00:00,15800
ID,2020-03-27 00:00:00,15800
ID,2020-03-30 00:00:00,20920
ID,2020-03-31 00:00:00,79957
ID,2020-04-02 00:00:00,45194
IE,2020-03-24 00:00:00,4852
IE,2020-03-25 00:00:00,7029
IE,2020-03-27 00:00:00,7029
IE,2020-03-30 00:00:00,11469
IE,2020-03-31 00:00:00,51047
IE,2020-04-02 00:00:00,45768
IL,2020-03-24 00:00:00,3407
IL,2020-03-25 00:00:00,10671
IL,2020-03-27 00:00:00,10671
IL,2020-03-30 00:00:00,12290
IL,2020-03-31 00:00:00,28046
IL,2020-04-02 00:00:00,35293
IM,2020-03-25 00:00:00,250
IM,2020-03-27 00:00:00,250
IM,2020-03-30 00:00:00,310
IN,2020-03-24 00:00:00,4680
IN,2020-03-25 00:00:00,5620
IN,2020-03-27 00:00:00,5620
IN,2020-03-30 00:00:00,7240
IN,2020-03-31 00:00:00,16896
IN,2020-04-02 00:00:00,72658
IQ,2020-03-24 00:00:00,5320
IQ,2020-03-25 00:00:00,6320
IQ,2020-03-27 00:00:00,6320
IQ,2020-03-30 00:00:00,7640
IQ,2020-03-31 00:00:00,13664
IQ,2020-04-02 00:00:00,7584
IR,2020-03-24 00:00:00,902241
IR,2020-03-25 00:00:00,950195
IR,2020-03-27 00:00:00,950195
IR,2020-03-30 00:00:00,1240652
IR,2020-03-31 00:00:00,1200000
IR,2020-04-02 00:00:00,1528318
IS,2020-03-24 00:00:00,3134
IS,2020-03-25 00:00:00,4551
IS,2020-03-27 00:00:00,4551
IS,2020-03-30 00:00:00,5393
IS,2020-03-31 00:00:00,5000
IS,2020-04-02 00:00:00,5000
IT,2020-03-24 00:00:00,751960
IT,2020-03-25 00:00:00,1003492
IT,2020-03-27 00:00:00,1003492
IT,2020-03-30 00:00:00,1291423
IT,2020-03-31 00:00:00,2610072
IT,2020-04-02 00:00:00,1620884
JE,2020-03-25 00:00:00,180
JE,2020-03-27 00:00:00,180
