Code,Date,Estimates
NO,2020-03-25 00:00:00,22586
NO,2020-03-27 00:00:00,22586
NO,2020-03-28 00:00:00,22586
NP,2020-03-25 00:00:00,270
NP,2020-03-27 00:00:00,270
NP,2020-03-28 00:00:00,270
NZ,2020-03-24 00:00:00,816
NZ,2020-03-25 00:00:00,2050
NZ,2020-03-27 00:00:00,2050
NZ,2020-03-28 00:00:00,2050
OM,2020-03-24 00:00:00,660
OM,2020-03-25 00:00:00,840
OM,2020-03-27 00:00:00,840
OM,2020-03-28 00:00:00,840
PA,2020-03-24 00:00:00,4748
PA,2020-03-25 00:00:00,8123
PA,2020-03-27 00:00:00,8123
PA,2020-03-28 00:00:00,8123
PE,2020-03-24 00:00:00,3630
PE,2020-03-25 00:00:00,4160
PE,2020-03-27 00:00:00,4160
PE,2020-03-28 00:00:00,4160
PG,2020-03-25 00:00:00,260
PG,2020-03-27 00:00:00,260
PG,2020-03-28 00:00:00,260
PH,2020-03-24 00:00:00,3942
PH,2020-03-25 00:00:00,11588
PH,2020-03-27 00:00:00,11588
PH,2020-03-28 00:00:00,11588
PK,2020-03-24 00:00:00,21875
PK,2020-03-25 00:00:00,30000
PK,2020-03-27 00:00:00,30000
PK,2020-03-28 00:00:00,30000
PL,2020-03-24 00:00:00,5992
PL,2020-03-25 00:00:00,8296
PL,2020-03-27 00:00:00,8296
PL,2020-03-28 00:00:00,8296
PR,2020-03-25 00:00:00,620
PR,2020-03-27 00:00:00,620
PR,2020-03-28 00:00:00,620
PT,2020-03-24 00:00:00,28700
PT,2020-03-25 00:00:00,44115
PT,2020-03-27 00:00:00,44115
PT,2020-03-28 00:00:00,44115
PY,2020-03-25 00:00:00,740
PY,2020-03-27 00:00:00,740
PY,2020-03-28 00:00:00,740
QA,2020-03-24 00:00:00,2400
QA,2020-03-25 00:00:00,2400
QA,2020-03-27 00:00:00,2400
QA,2020-03-28 00:00:00,2400
RO,2020-03-24 00:00:00,4608
RO,2020-03-25 00:00:00,9060
RO,2020-03-27 00:00:00,9060
RO,2020-03-28 00:00:00,9060
RS,2020-03-24 00:00:00,2490
RS,2020-03-25 00:00:00,3030
RS,2020-03-27 00:00:00,3030
RS,2020-03-28 00:00:00,3030
RU,2020-03-24 00:00:00,4380
RU,2020-03-25 00:00:00,6580
RU,2020-03-27 00:00:00,6580
RU,2020-03-28 00:00:00,6580
RW,2020-03-25 00:00:00,800
RW,2020-03-27 00:00:00,800
RW,2020-03-28 00:00:00,800
SA,2020-03-24 00:00:00,5110
SA,2020-03-25 00:00:00,7670
SA,2020-03-27 00:00:00,7670
SA,2020-03-28 00:00:00,7670
SC,2020-03-25 00:00:00,90
SC,2020-03-27 00:00:00,90
SC,2020-03-28 00:00:00,90
SD,2020-03-25 00:00:00,280
SD,2020-03-27 00:00:00,280
SD,2020-03-28 00:00:00,280
SE,2020-03-24 00:00:00,30230
SE,2020-03-25 00:00:00,43500
SE,2020-03-27 00:00:00,43500
SE,2020-03-28 00:00:00,43500
SG,2020-03-24 00:00:00,764
SG,2020-03-25 00:00:00,837
SG,2020-03-27 00:00:00,837
SG,2020-03-28 00:00:00,837
SI,2020-03-24 00:00:00,4168
SI,2020-03-25 00:00:00,4400
SI,2020-03-27 00:00:00,4400
SI,2020-03-28 00:00:00,4400
SK,2020-03-24 00:00:00,1480
SK,2020-03-25 00:00:00,2103
SK,2020-03-27 00:00:00,2103
SK,2020-03-28 00:00:00,2103
SN,2020-03-24 00:00:00,670
SN,2020-03-25 00:00:00,990
SN,2020-03-27 00:00:00,990
SN,2020-03-28 00:00:00,990
SO,2020-03-25 00:00:00,260
SO,2020-03-27 00:00:00,260
SO,2020-03-28 00:00:00,260
SR,2020-03-25 00:00:00,100
SR,2020-03-27 00:00:00,100
SR,2020-03-28 00:00:00,100
SY,2020-03-25 00:00:00,30
SY,2020-03-27 00:00:00,30
SY,2020-03-28 00:00:00,30
TD,2020-03-25 00:00:00,280
TD,2020-03-27 00:00:00,280
TD,2020-03-28 00:00:00,280
TG,2020-03-25 00:00:00,263
TG,2020-03-27 00:00:00,263
TG,2020-03-28 00:00:00,263
TH,2020-03-24 00:00:00,4067
TH,2020-03-25 00:00:00,6825
TH,2020-03-27 00:00:00,6825
TH,2020-03-28 00:00:00,6825
TL,2020-03-25 00:00:00,30
TL,2020-03-27 00:00:00,30
TL,2020-03-28 00:00:00,30
TN,2020-03-24 00:00:00,890
TN,2020-03-25 00:00:00,1140
TN,2020-03-27 00:00:00,1140
TN,2020-03-28 00:00:00,1140
TR,2020-03-24 00:00:00,24720
TR,2020-03-25 00:00:00,56160
TR,2020-03-27 00:00:00,56160
TR,2020-03-28 00:00:00,56160
TT,2020-03-25 00:00:00,1140
TT,2020-03-27 00:00:00,1140
TT,2020-03-28 00:00:00,1140
TW,2020-03-24 00:00:00,293
TW,2020-03-25 00:00:00,470
TW,2020-03-27 00:00:00,470
TW,2020-03-28 00:00:00,470
TZ,2020-03-25 00:00:00,370
TZ,2020-03-27 00:00:00,370
TZ,2020-03-28 00:00:00,370
UA,2020-03-24 00:00:00,730
UA,2020-03-25 00:00:00,1130
UA,2020-03-27 00:00:00,1130
UA,2020-03-28 00:00:00,1130
UG,2020-03-25 00:00:00,340
UG,2020-03-27 00:00:00,340
UG,2020-03-28 00:00:00,340
US,2020-03-24 00:00:00,771570
US,2020-03-25 00:00:00,1058175
US,2020-03-27 00:00:00,1058175
US,2020-03-28 00:00:00,1058175
UY,2020-03-24 00:00:00,1350
UY,2020-03-25 00:00:00,1620
UY,2020-03-27 00:00:00,1620
UY,2020-03-28 00:00:00,1620
UZ,2020-03-25 00:00:00,1000
UZ,2020-03-27 00:00:00,1000
UZ,2020-03-28 00:00:00,1000
VE,2020-03-24 00:00:00,770
VE,2020-03-25 00:00:00,910
VE,2020-03-27 00:00:00,910
VE,2020-03-28 00:00:00,910
VN,2020-03-24 00:00:00,244
VN,2020-03-25 00:00:00,268
VN,2020-03-27 00:00:00,268
VN,2020-03-28 00:00:00,268
ZA,2020-03-25 00:00:00,14180
ZA,2020-03-27 00:00:00,14180
ZA,2020-03-28 00:00:00,14180
ZM,2020-03-25 00:00:00,370
ZM,2020-03-27 00:00:00,370
ZM,2020-03-28 00:00:00,370
ZW,2020-03-25 00:00:00,280
ZW,2020-03-27 00:00:00,280
ZW,2020-03-28 00:00:00,280
